left,right,front,steering
486.0,476.0,1967.0,-2.0
492.0,479.0,2063.0,-2.0
473.0,481.0,1952.0,-7.0
479.0,481.0,1817.0,-7.0
476.0,489.0,0.0,-2.0
491.0,476.0,1787.0,-2.0
489.0,476.0,1707.0,-2.0
489.0,470.0,1707.0,-2.0
495.0,482.0,1707.0,-2.0
481.0,482.0,1581.0,-2.0
481.0,479.0,1439.0,-2.0
484.0,485.0,1367.0,-2.0
481.0,485.0,1254.0,-7.0
481.0,485.0,1254.0,-7.0
483.0,829.0,1116.0,-2.0
490.0,2040.0,978.0,-7.0
515.0,2040.0,844.0,-12.0
515.0,1916.0,844.0,-16.0
571.0,888.0,801.0,-12.0
1067.0,888.0,1043.0,-7.0
1478.0,546.0,1043.0,-2.0
1342.0,573.0,1166.0,-7.0
1418.0,610.0,1166.0,-12.0
1239.0,639.0,1124.0,-12.0
1239.0,639.0,1609.0,-12.0
712.0,611.0,1609.0,-7.0
592.0,525.0,2165.0,-7.0
537.0,507.0,2238.0,-12.0
489.0,507.0,2139.0,-7.0
474.0,450.0,2139.0,-2.0
481.0,441.0,2021.0,-2.0
482.0,444.0,1995.0,-2.0
496.0,450.0,0.0,-2.0
483.0,445.0,1939.0,-2.0
472.0,445.0,1861.0,-2.0
482.0,454.0,1819.0,-7.0
458.0,471.0,1890.0,-7.0
458.0,453.0,1680.0,-2.0
479.0,453.0,1680.0,-2.0
479.0,461.0,1680.0,-2.0
476.0,459.0,1498.0,-2.0
476.0,459.0,1423.0,-2.0
474.0,459.0,1423.0,-2.0
485.0,460.0,1386.0,-2.0
470.0,2157.0,1278.0,-2.0
487.0,2207.0,1165.0,-12.0
508.0,2207.0,909.0,-16.0
508.0,1222.0,0.0,-12.0
1033.0,1222.0,1094.0,-7.0
1194.0,587.0,1124.0,-2.0
1222.0,602.0,1056.0,-7.0
1311.0,966.0,802.0,-12.0
1544.0,966.0,789.0,-12.0
1237.0,663.0,805.0,-7.0
949.0,574.0,0.0,-7.0
949.0,574.0,1651.0,-12.0
542.0,568.0,1651.0,-12.0
542.0,505.0,2167.0,-7.0
480.0,505.0,2156.0,-7.0
489.0,473.0,2073.0,-2.0
489.0,474.0,2109.0,-2.0
474.0,480.0,2109.0,-7.0
486.0,480.0,2109.0,-7.0
486.0,473.0,2058.0,-2.0
486.0,470.0,1891.0,-2.0
482.0,466.0,1862.0,-2.0
485.0,467.0,1862.0,-2.0
479.0,467.0,1779.0,-2.0
480.0,467.0,1606.0,-7.0
480.0,477.0,1606.0,-2.0
501.0,468.0,1621.0,-2.0
494.0,456.0,1500.0,-2.0
502.0,453.0,1500.0,3.0
525.0,463.0,1268.0,-2.0
505.0,1670.0,1147.0,-7.0
494.0,2249.0,1105.0,-12.0
480.0,2240.0,902.0,-12.0
526.0,1766.0,897.0,-7.0
591.0,1078.0,897.0,-7.0
998.0,1071.0,856.0,-7.0
1098.0,973.0,826.0,-12.0
1426.0,783.0,800.0,-12.0
1480.0,668.0,839.0,-12.0
1064.0,571.0,1145.0,-7.0
1064.0,573.0,1448.0,-7.0
733.0,573.0,1757.0,-7.0
733.0,564.0,1757.0,-7.0
655.0,560.0,2038.0,-12.0
510.0,539.0,2242.0,-12.0
510.0,539.0,2211.0,-7.0
475.0,478.0,2120.0,-2.0
465.0,478.0,2010.0,3.0
485.0,476.0,2010.0,-2.0
471.0,476.0,2010.0,-7.0
470.0,489.0,1960.0,-7.0
470.0,489.0,1960.0,-2.0
482.0,483.0,1780.0,-2.0
482.0,477.0,1778.0,-2.0
486.0,464.0,1701.0,-2.0
479.0,479.0,1701.0,-2.0
477.0,479.0,1523.0,-2.0
477.0,481.0,1483.0,-2.0
483.0,481.0,1483.0,-2.0
483.0,481.0,1483.0,-2.0
483.0,481.0,1483.0,-2.0
483.0,481.0,1483.0,-7.0
483.0,481.0,1483.0,-12.0
483.0,481.0,1483.0,-12.0
483.0,481.0,1483.0,-12.0
483.0,481.0,1483.0,-12.0
483.0,481.0,1483.0,-7.0
483.0,481.0,1483.0,-7.0
483.0,481.0,1483.0,-7.0
483.0,481.0,1483.0,-12.0
483.0,481.0,1483.0,-12.0
702.0,2092.0,1774.0,-12.0
702.0,555.0,2137.0,-7.0
581.0,527.0,2137.0,-7.0
547.0,527.0,2113.0,-7.0
494.0,491.0,2113.0,-7.0
494.0,491.0,2113.0,-7.0
490.0,482.0,2001.0,-2.0
480.0,473.0,2001.0,-2.0
480.0,473.0,2024.0,-2.0
480.0,476.0,1842.0,-2.0
483.0,476.0,1871.0,-2.0
483.0,476.0,1871.0,-7.0
489.0,481.0,1770.0,-7.0
473.0,480.0,1587.0,-2.0
483.0,472.0,1582.0,-2.0
481.0,477.0,1582.0,-2.0
494.0,474.0,1402.0,-2.0
475.0,474.0,1361.0,-2.0
485.0,481.0,1266.0,-2.0
485.0,482.0,1266.0,-7.0
475.0,510.0,1266.0,-7.0
499.0,1432.0,0.0,-7.0
499.0,1757.0,901.0,-7.0
520.0,1673.0,901.0,-7.0
597.0,1381.0,836.0,-12.0
597.0,969.0,1037.0,-16.0
1114.0,969.0,1163.0,-7.0
1447.0,555.0,1151.0,-2.0
1402.0,535.0,1115.0,-7.0
1326.0,607.0,1135.0,-12.0
1187.0,663.0,1135.0,-12.0
1187.0,553.0,1570.0,-12.0
705.0,553.0,2112.0,-12.0
582.0,515.0,2306.0,-7.0
512.0,471.0,2180.0,-7.0
477.0,462.0,2147.0,-7.0
471.0,451.0,2064.0,-2.0
484.0,448.0,1977.0,-2.0
479.0,436.0,1977.0,-2.0
479.0,436.0,1992.0,-2.0
489.0,445.0,1950.0,-2.0
489.0,449.0,1987.0,-2.0
489.0,452.0,1846.0,-2.0
489.0,452.0,1846.0,-2.0
481.0,459.0,1782.0,-2.0
490.0,462.0,1864.0,-2.0
475.0,458.0,1597.0,-2.0
473.0,473.0,1612.0,-7.0
466.0,473.0,1455.0,-7.0
460.0,473.0,1291.0,-7.0
463.0,462.0,1291.0,-2.0
488.0,462.0,1118.0,-7.0
489.0,2187.0,925.0,-12.0
489.0,1468.0,1081.0,-12.0
578.0,974.0,1081.0,-7.0
1072.0,974.0,896.0,-7.0
1171.0,689.0,1035.0,-7.0
1432.0,689.0,1015.0,-7.0
1428.0,699.0,834.0,-12.0
1322.0,676.0,977.0,-12.0
1043.0,676.0,1464.0,-7.0
1043.0,634.0,1464.0,-7.0
1043.0,579.0,1772.0,-13.0
631.0,547.0,1955.0,-12.0
569.0,499.0,2151.0,-7.0
510.0,499.0,2151.0,-2.0
473.0,473.0,2141.0,-2.0
474.0,464.0,2101.0,-2.0
495.0,470.0,2043.0,-2.0
493.0,470.0,2043.0,-2.0
483.0,469.0,1926.0,-7.0
483.0,470.0,1881.0,-2.0
486.0,470.0,1796.0,-2.0
492.0,470.0,1796.0,-2.0
485.0,462.0,1748.0,-2.0
490.0,472.0,1714.0,-2.0
477.0,474.0,1628.0,-7.0
489.0,464.0,1460.0,-2.0
497.0,464.0,1442.0,-2.0
495.0,462.0,1442.0,-2.0
498.0,463.0,1223.0,-2.0
511.0,1951.0,1082.0,-7.0
503.0,2243.0,1082.0,-12.0
499.0,2199.0,921.0,-12.0
558.0,1350.0,869.0,-7.0
962.0,1092.0,836.0,-7.0
1074.0,1098.0,819.0,-12.0
1299.0,986.0,803.0,-12.0
1368.0,685.0,826.0,-7.0
1312.0,685.0,1092.0,-7.0
1090.0,629.0,1331.0,-7.0
699.0,615.0,1528.0,-7.0
699.0,615.0,1528.0,-12.0
622.0,578.0,2184.0,-12.0
531.0,578.0,2156.0,-12.0
483.0,498.0,2171.0,-7.0
476.0,480.0,2208.0,-2.0
478.0,480.0,2003.0,-2.0
489.0,477.0,1999.0,-2.0
487.0,477.0,0.0,-2.0
472.0,484.0,2053.0,-7.0
472.0,483.0,1824.0,-7.0
475.0,483.0,1824.0,-2.0
475.0,477.0,1817.0,-2.0
481.0,475.0,1734.0,-2.0
474.0,477.0,1626.0,-2.0
480.0,469.0,1626.0,-2.0
475.0,469.0,1707.0,-2.0
475.0,478.0,1487.0,-2.0
473.0,481.0,1327.0,-2.0
480.0,2173.0,1216.0,-2.0
466.0,2261.0,1179.0,-7.0
466.0,2272.0,1179.0,-12.0
474.0,1823.0,962.0,-12.0
571.0,1123.0,897.0,-12.0
571.0,1123.0,879.0,-7.0
1005.0,930.0,854.0,-7.0
1151.0,904.0,826.0,-7.0
1184.0,904.0,1029.0,-12.0
1272.0,704.0,1177.0,-7.0
1214.0,625.0,1177.0,-7.0
1017.0,617.0,1354.0,-12.0
679.0,563.0,1354.0,-12.0
679.0,522.0,1765.0,-12.0
492.0,522.0,2191.0,-7.0
492.0,522.0,2191.0,-7.0
491.0,498.0,0.0,-2.0
485.0,485.0,2044.0,-2.0
492.0,488.0,1901.0,-2.0
487.0,483.0,1962.0,-2.0
473.0,476.0,1962.0,-7.0
469.0,476.0,1849.0,-7.0
469.0,476.0,1849.0,-2.0
486.0,476.0,1724.0,-2.0
484.0,477.0,1727.0,-2.0
488.0,473.0,1658.0,-2.0
487.0,476.0,1546.0,-2.0
479.0,479.0,1466.0,-2.0
497.0,477.0,1466.0,-2.0
480.0,477.0,1347.0,-2.0
478.0,491.0,1254.0,-2.0
492.0,1288.0,1140.0,-7.0
492.0,1921.0,0.0,-7.0
502.0,1932.0,965.0,-7.0
534.0,1762.0,899.0,-12.0
534.0,1143.0,821.0,-12.0
724.0,1143.0,819.0,-12.0
1324.0,670.0,1098.0,-7.0
1408.0,555.0,1163.0,-7.0
1307.0,555.0,1234.0,-7.0
1058.0,561.0,1354.0,-7.0
926.0,561.0,1467.0,-7.0
926.0,578.0,1467.0,-12.0
926.0,563.0,1788.0,-12.0
643.0,540.0,2149.0,-12.0
495.0,497.0,2149.0,-7.0
495.0,458.0,2.0,-2.0
488.0,444.0,2429.0,-2.0
488.0,449.0,2429.0,-2.0
496.0,443.0,2001.0,-2.0
477.0,443.0,2001.0,-2.0
477.0,448.0,1955.0,-2.0
480.0,462.0,1896.0,-2.0
466.0,469.0,0.0,-7.0
461.0,455.0,1746.0,-2.0
481.0,455.0,1713.0,-2.0
473.0,453.0,1614.0,-2.0
477.0,444.0,1614.0,-2.0
477.0,451.0,1523.0,-2.0
483.0,451.0,1307.0,-2.0
483.0,458.0,1307.0,-13.0
485.0,459.0,1307.0,-2.0
477.0,1695.0,1164.0,-2.0
477.0,2226.0,0.0,-12.0
494.0,1904.0,946.0,-12.0
574.0,1221.0,895.0,-12.0
574.0,892.0,850.0,-7.0
1118.0,892.0,850.0,-2.0
1465.0,671.0,1085.0,-7.0
1382.0,671.0,828.0,-7.0
1438.0,747.0,1000.0,-12.0
1295.0,747.0,1155.0,-12.0
956.0,726.0,1155.0,-12.0
598.0,552.0,2033.0,-7.0
598.0,552.0,2033.0,-7.0
534.0,516.0,2255.0,-7.0
486.0,499.0,2152.0,-7.0
483.0,480.0,2112.0,-7.0
488.0,475.0,2091.0,-2.0
488.0,475.0,2091.0,-2.0
480.0,471.0,2010.0,-2.0
481.0,471.0,1880.0,-2.0
478.0,481.0,1953.0,-7.0
475.0,481.0,1839.0,-2.0
476.0,460.0,1669.0,-2.0
483.0,460.0,1669.0,-2.0
505.0,460.0,1707.0,-2.0
498.0,470.0,1593.0,-2.0
491.0,452.0,1606.0,-2.0
509.0,461.0,1449.0,-2.0
501.0,464.0,1417.0,-2.0
503.0,466.0,1275.0,-2.0
512.0,2156.0,1128.0,-7.0
510.0,2245.0,918.0,-12.0
505.0,2155.0,918.0,-12.0
513.0,1517.0,871.0,-7.0
559.0,1001.0,856.0,-7.0
1153.0,950.0,851.0,-7.0
1221.0,964.0,828.0,-12.0
1307.0,964.0,791.0,-7.0
1289.0,610.0,1247.0,-7.0
1047.0,610.0,1247.0,-7.0
1047.0,610.0,1508.0,-7.0
695.0,610.0,1710.0,-12.0
616.0,595.0,2330.0,-12.0
616.0,447.0,2330.0,-7.0
485.0,299.0,2152.0,-7.0
485.0,299.0,2152.0,-2.0
480.0,332.0,2120.0,-2.0
472.0,389.0,2120.0,-7.0
471.0,415.0,2093.0,-7.0
471.0,415.0,1967.0,-2.0
473.0,414.0,1862.0,-2.0
489.0,463.0,1894.0,-2.0
481.0,463.0,1863.0,-2.0
481.0,492.0,1863.0,-7.0
485.0,474.0,1662.0,-7.0
475.0,474.0,1662.0,-2.0
472.0,480.0,1505.0,-2.0
496.0,480.0,1505.0,-2.0
498.0,480.0,1505.0,3.0
488.0,811.0,1215.0,-2.0
502.0,2266.0,980.0,-7.0
473.0,2255.0,980.0,-12.0
473.0,2191.0,910.0,-12.0
473.0,1643.0,0.0,-12.0
600.0,1188.0,866.0,-12.0
1048.0,874.0,866.0,-7.0
1253.0,654.0,1082.0,-7.0
1415.0,647.0,0.0,-7.0
1354.0,647.0,1127.0,-7.0
1197.0,662.0,1117.0,-12.0
1197.0,691.0,1678.0,-12.0
1197.0,571.0,1678.0,-12.0
708.0,519.0,2188.0,-7.0
585.0,519.0,2188.0,-7.0
513.0,429.0,2188.0,-7.0
492.0,365.0,2110.0,-2.0
488.0,475.0,2110.0,-2.0
488.0,471.0,1978.0,-2.0
490.0,471.0,1925.0,-7.0
469.0,488.0,1882.0,-7.0
469.0,480.0,1811.0,-2.0
478.0,467.0,0.0,-2.0
492.0,467.0,1757.0,-2.0
491.0,467.0,1698.0,-2.0
490.0,478.0,1564.0,-2.0
496.0,474.0,1564.0,-2.0
494.0,474.0,1417.0,-2.0
488.0,473.0,1354.0,-2.0
485.0,484.0,1276.0,-2.0
483.0,486.0,1195.0,-2.0
467.0,587.0,1001.0,-7.0
482.0,2063.0,905.0,-7.0
484.0,2109.0,866.0,-12.0
520.0,1827.0,820.0,-12.0
582.0,1176.0,820.0,-12.0
1006.0,912.0,809.0,-12.0
1509.0,599.0,1051.0,-7.0
1287.0,561.0,1056.0,-7.0
1312.0,561.0,1109.0,-7.0
1185.0,588.0,1200.0,-7.0
1185.0,584.0,1689.0,-12.0
1185.0,541.0,1689.0,-7.0
